40	8.65165E-6	8.54952E-6	7.96565E-6
39.5	8.48145E-6	8.39942E-6	7.80242E-6
39	8.27421E-6	8.15721E-6	7.65254E-6
38.5	8.11986E-6	8.16627E-6	7.45777E-6
38	7.99437E-6	7.59108E-6	7.34986E-6
37.5	7.82015E-6	7.53561E-6	7.17015E-6
37	7.66434E-6	7.41988E-6	7.03267E-6
36.5	7.50192E-6	7.20452E-6	6.8962E-6
36	7.35286E-6	6.93939E-6	6.7433E-6
35.5	7.21786E-6	6.80677E-6	6.64744E-6
35	7.10725E-6	6.51643E-6	6.51474E-6
34.5	6.93727E-6	6.45459E-6	6.3261E-6
34	6.80379E-6	6.09266E-6	6.19809E-6
33.5	6.69728E-6	5.70386E-6	6.08711E-6
33	6.5165E-6	5.51411E-6	5.94475E-6
32.5	6.38821E-6	5.3598E-6	5.80964E-6
32	6.30072E-6	5.96176E-6	5.63183E-6
31.5	6.1968E-6	5.88297E-6	5.51006E-6
31	6.08785E-6	5.74334E-6	5.38446E-6
30.5	5.92167E-6	5.31549E-6	5.22358E-6
30	5.84194E-6	4.61786E-6	5.09817E-6
29.5	5.72299E-6	3.97905E-6	4.96725E-6
29	5.56209E-6	4.38176E-6	4.83795E-6
28.5	5.4135E-6	4.12737E-6	4.71212E-6
28	5.29652E-6	3.88132E-6	4.58801E-6
27.5	5.21577E-6	3.60307E-6	4.47965E-6
27	5.0699E-6	3.37845E-6	4.34345E-6
26.5	4.9607E-6	3.51097E-6	4.22555E-6
26	4.84495E-6	3.19582E-6	4.09798E-6
25.5	4.75335E-6	3.27921E-6	3.9768E-6
25	4.62772E-6	3.06033E-6	3.85709E-6
24.5	4.48857E-6	3.07464E-6	3.74448E-6
24	4.42244E-6	3.13539E-6	3.63946E-6
23.5	4.25327E-6	3.86241E-6	3.51797E-6
23	4.15139E-6	3.72695E-6	3.4039E-6
22.5	4.08476E-6	3.56591E-6	3.29862E-6
22	3.94024E-6	3.3647E-6	3.19109E-6
21.5	3.82447E-6	2.98417E-6	3.08338E-6
21	3.75827E-6	2.93498E-6	2.97834E-6
20.5	3.64565E-6	2.96147E-6	2.86474E-6
20	3.53277E-6	2.40199E-6	2.75333E-6
19.5	3.43787E-6	2.31636E-6	2.6618E-6
19	3.35329E-6	2.21598E-6	2.55943E-6
18.5	3.26277E-6	2.14041E-6	2.46986E-6
18	3.1993E-6	2.00358E-6	2.3664E-6
17.5	3.10106E-6	1.94424E-6	2.26298E-6
17	3.00942E-6	1.84463E-6	2.17979E-6
16.5	2.88312E-6	1.81425E-6	2.09207E-6
16	2.81279E-6	1.85938E-6	2.01836E-6
15.5	2.70853E-6	1.82213E-6	1.92344E-6
15	2.62099E-6	1.81698E-6	1.83891E-6
14.5	2.54023E-6	1.9004E-6	1.76676E-6
14	2.43711E-6	1.7434E-6	1.68408E-6
13.5	2.37312E-6	1.66285E-6	1.63483E-6
13	2.28174E-6	1.59694E-6	1.54416E-6
12.5	2.21177E-6	1.64302E-6	1.46483E-6
12	2.13278E-6	1.58889E-6	1.405E-6
11.5	2.04735E-6	1.53717E-6	1.33255E-6
11	1.97266E-6	1.48244E-6	1.27437E-6
10.5	1.9007E-6	1.4292E-6	1.22072E-6
10	1.84812E-6	1.37938E-6	1.14933E-6
9.5	1.76403E-6	1.33123E-6	1.09379E-6
9	1.69894E-6	1.28816E-6	1.02457E-6
8.5	1.65644E-6	1.25188E-6	9.8474E-7
8	1.59772E-6	1.20318E-6	9.3205E-7
7.5	1.5338E-6	1.15786E-6	8.81E-7
7	1.47849E-6	1.11318E-6	8.33101E-7
6.5	1.38932E-6	1.08171E-6	7.82702E-7
6	1.31201E-6	1.03921E-6	7.39223E-7
5.5	1.28263E-6	9.8183E-7	6.95118E-7
5	1.23149E-6	9.7341E-7	6.52168E-7
4.5	1.17508E-6	9.3941E-7	6.08131E-7
4	1.12191E-6	8.9675E-7	5.70749E-7
3.5	1.07324E-6	8.71787E-7	5.33251E-7
3	1.02662E-6	8.64029E-7	4.95401E-7
2.5	9.6973E-7	8.25601E-7	4.62477E-7
2	9.1681E-7	7.67842E-7	4.22413E-7
1.5	8.66959E-7	7.57889E-7	3.89966E-7
1	8.29364E-7	7.38746E-7	3.61291E-7
0.5	7.89126E-7	7.14733E-7	3.31719E-7
0	7.41019E-7	6.62764E-7	3.02255E-7
-0.5	7.01118E-7	6.61579E-7	2.74215E-7
-1	6.72436E-7	6.26366E-7	2.57718E-7
-1.5	6.24567E-7	6.1102E-7	2.31568E-7
-2	5.84027E-7	5.79404E-7	2.10407E-7
-2.5	5.57835E-7	5.72869E-7	1.89124E-7
-3	5.3297E-7	5.27286E-7	1.69128E-7
-3.5	5.07089E-7	5.12132E-7	1.49288E-7
-4	4.821E-7	4.94659E-7	1.33986E-7
-4.5	4.47341E-7	4.84349E-7	1.18321E-7
-5	4.15251E-7	4.43886E-7	1.04336E-7
-5.5	3.87345E-7	4.36965E-7	9.1801E-8
-6	3.59573E-7	4.18352E-7	8.0031E-8
-6.5	3.4441E-7	3.91039E-7	6.9446E-8
-7	3.19235E-7	3.77472E-7	5.9307E-8
-7.5	2.98994E-7	3.77737E-7	5.1083E-8
-8	2.77804E-7	3.54968E-7	4.2241E-8
-8.5	2.63506E-7	3.50077E-7	3.5142E-8
-9	2.40691E-7	3.33413E-7	2.9922E-8
-9.5	2.19423E-7	3.24073E-7	2.427E-8
-10	2.00797E-7	2.97697E-7	2.0045E-8
-10.5	1.82731E-7	2.80042E-7	1.6959E-8
-11	1.63721E-7	2.66312E-7	1.3472E-8
